temperature,pressure,specific_volume,specific_internal_energy,specific_enthalpy,specific_entropy,temperature$uncertainty,pressure$uncertainty,specific_volume$uncertainty,specific_internal_energy$uncertainty,specific_enthalpy$uncertainty,specific_entropy$uncertainty,$citation
413.15,20000000.0,0.0010679,580710.0,602070.0,1719.4,0.0,0.0,9.150000000000087e-06,41930.0,42114.99999999997,100.44999999999993,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
433.15,20000000.0,0.0010886,665280.0,687050.0,1920.3,0.0,0.0,1.03499999999999e-05,42285.0,42490.0,97.00000000000011,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
453.15,20000000.0,0.0011122,750780.0,773020.0,2114.3,0.0,0.0,1.180000000000007e-05,42750.0,42985.0,94.20000000000005,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
473.15,20000000.0,0.001139,837490.0,860270.0,2302.7000000000003,0.0,0.0,1.34e-05,43355.0,43625.0,91.99999999999977,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
493.15,20000000.0,0.0011697,925770.0,949160.0,2486.7,0.0,0.0,1.535000000000002e-05,44140.0,44445.0,90.45000000000027,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
513.15,20000000.0,0.0012053,1016100.0,1040200.0,2667.6000000000004,0.0,0.0,1.78e-05,45165.0,45520.0,89.64999999999986,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
533.15,20000000.0,0.0012472,1109000.0,1134000.0,2846.9,0.0,0.0,2.094999999999994e-05,46450.0,46900.0,89.64999999999986,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
553.15,20000000.0,0.0012978,1205600.0,1231500.0,3026.5,0.0,0.0,2.530000000000002e-05,48300.0,48750.0,89.79999999999995,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
573.15,20000000.0,0.0013611,1307200.0,1334400.0,3209.1,0.0,0.0,3.165000000000004e-05,50800.0,51450.0,91.29999999999995,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
593.15,20000000.0,0.001445,1416600.0,1445500.0,3399.6,0.0,0.0,4.195000000000002e-05,54700.0,55550.0,95.25,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
